>>> 4483409785568 FormatService.format()
>>> 4483409786014 list paths
<<< 4483409851396 list paths
>>> 4483409851415 read files
<<< 4483409871359 read files
>>> 4483409871379 start workers
>>> 4483409871940 start worker | 1
>>> 4483412697869 send format response | ./lib/src/profile.dart
<<< 4483412697883 send format response | ./lib/src/profile.dart
<<< 4483412698003 request and wait for format | ./lib/src/profile.dart
>>> 4483412698015 request and wait for format | ./lib/src/short/argument_list_visitor.dart
>>> 4483412698018 send format request | ./lib/src/short/argument_list_visitor.dart
<<< 4483412698029 send format request | ./lib/src/short/argument_list_visitor.dart
>>> 4483412698032 format | ./lib/src/short/argument_list_visitor.dart
<<< 4483412757663 format | ./lib/src/short/argument_list_visitor.dart
>>> 4483412757669 send format response | ./lib/src/short/argument_list_visitor.dart
<<< 4483412757679 send format response | ./lib/src/short/argument_list_visitor.dart
<<< 4483412757798 request and wait for format | ./lib/src/short/argument_list_visitor.dart
>>> 4483412757807 request and wait for format | ./lib/src/short/call_chain_visitor.dart
>>> 4483412757811 send format request | ./lib/src/short/call_chain_visitor.dart
<<< 4483412757820 send format request | ./lib/src/short/call_chain_visitor.dart
>>> 4483412757822 format | ./lib/src/short/call_chain_visitor.dart
<<< 4483412817525 format | ./lib/src/short/call_chain_visitor.dart
>>> 4483412817530 send format response | ./lib/src/short/call_chain_visitor.dart
<<< 4483412817543 send format response | ./lib/src/short/call_chain_visitor.dart
<<< 4483412817668 request and wait for format | ./lib/src/short/call_chain_visitor.dart
>>> 4483412817679 request and wait for format | ./lib/src/short/chunk.dart
>>> 4483412817682 send format request | ./lib/src/short/chunk.dart
<<< 4483412817696 send format request | ./lib/src/short/chunk.dart
>>> 4483412817698 format | ./lib/src/short/chunk.dart
<<< 4483412877340 format | ./lib/src/short/chunk.dart
>>> 4483412877344 send format response | ./lib/src/short/chunk.dart
<<< 4483412877354 send format response | ./lib/src/short/chunk.dart
<<< 4483412877462 request and wait for format | ./lib/src/short/chunk.dart
>>> 4483412877470 request and wait for format | ./lib/src/short/chunk_builder.dart
>>> 4483412877473 send format request | ./lib/src/short/chunk_builder.dart
<<< 4483412877483 send format request | ./lib/src/short/chunk_builder.dart
>>> 4483412877485 format | ./lib/src/short/chunk_builder.dart
<<< 4483412937141 format | ./lib/src/short/chunk_builder.dart
>>> 4483412937147 send format response | ./lib/src/short/chunk_builder.dart
<<< 4483412937159 send format response | ./lib/src/short/chunk_builder.dart
<<< 4483412937286 request and wait for format | ./lib/src/short/chunk_builder.dart
>>> 4483412937298 request and wait for format | ./lib/src/short/fast_hash.dart
>>> 4483412937301 send format request | ./lib/src/short/fast_hash.dart
<<< 4483412937315 send format request | ./lib/src/short/fast_hash.dart
>>> 4483412937319 format | ./lib/src/short/fast_hash.dart
<<< 4483412996856 format | ./lib/src/short/fast_hash.dart
>>> 4483412996861 send format response | ./lib/src/short/fast_hash.dart
<<< 4483412996872 send format response | ./lib/src/short/fast_hash.dart
<<< 4483412996990 request and wait for format | ./lib/src/short/fast_hash.dart
>>> 4483412997000 request and wait for format | ./lib/src/short/line_splitting/line_splitter.dart
>>> 4483412997002 send format request | ./lib/src/short/line_splitting/line_splitter.dart
<<< 4483412997013 send format request | ./lib/src/short/line_splitting/line_splitter.dart
>>> 4483412997015 format | ./lib/src/short/line_splitting/line_splitter.dart
<<< 4483413056620 format | ./lib/src/short/line_splitting/line_splitter.dart
>>> 4483413056626 send format response | ./lib/src/short/line_splitting/line_splitter.dart
<<< 4483413056638 send format response | ./lib/src/short/line_splitting/line_splitter.dart
<<< 4483413056760 request and wait for format | ./lib/src/short/line_splitting/line_splitter.dart
>>> 4483413056774 request and wait for format | ./lib/src/short/line_splitting/rule_set.dart
>>> 4483413056778 send format request | ./lib/src/short/line_splitting/rule_set.dart
<<< 4483413056790 send format request | ./lib/src/short/line_splitting/rule_set.dart
>>> 4483413056792 format | ./lib/src/short/line_splitting/rule_set.dart
<<< 4483413116354 format | ./lib/src/short/line_splitting/rule_set.dart
>>> 4483413116359 send format response | ./lib/src/short/line_splitting/rule_set.dart
